,2000-2004年数据,2005-2009年数据,2010-2014年数据,2015-2019年数据,2020-2024年数据
tourney_id,0,0,0,0,0
tourney_name,0,0,0,0,0
surface,0,0,0,0,0
draw_size,0,0,0,0,0
tourney_level,0,0,0,0,0
tourney_date,0,0,0,0,0
match_num,0,0,0,0,0
winner_id,0,0,0,0,0
winner_seed,0,0,0,0,0
winner_entry,0,0,0,0,0
winner_name,0,0,0,0,0
winner_hand,0,0,0,0,0
winner_ht,0,0,0,0,0
winner_ioc,0,0,0,0,0
winner_age,0,0,0,0,0
loser_id,0,0,0,0,0
loser_seed,0,0,0,0,0
loser_entry,0,0,0,0,0
loser_name,0,0,0,0,0
loser_hand,0,0,0,0,0
loser_ht,0,0,0,0,0
loser_ioc,0,0,0,0,0
loser_age,0,0,0,0,0
score,0,0,0,0,0
best_of,0,0,0,0,0
round,0,0,0,0,0
minutes,0,0,0,0,0
w_ace,0,0,0,0,0
w_df,0,0,0,0,0
w_svpt,0,0,0,0,0
w_1stIn,0,0,0,0,0
w_1stWon,0,0,0,0,0
w_2ndWon,0,0,0,0,0
w_SvGms,0,0,0,0,0
w_bpSaved,0,0,0,0,0
w_bpFaced,0,0,0,0,0
l_ace,0,0,0,0,0
l_df,0,0,0,0,0
l_svpt,0,0,0,0,0
l_1stIn,0,0,0,0,0
l_1stWon,0,0,0,0,0
l_2ndWon,0,0,0,0,0
l_SvGms,0,0,0,0,0
l_bpSaved,0,0,0,0,0
l_bpFaced,0,0,0,0,0
winner_rank,0,0,0,0,0
winner_rank_points,0,0,0,0,0
loser_rank,0,0,0,0,0
loser_rank_points,0,0,0,0,0
tourney_ioc,0,0,0,0,0
tourney_year,0,0,0,0,0
w_host,0,0,0,0,0
l_host,0,0,0,0,0
